phrases_x,phrases_y,similarities
what is the detailed income statement breakdown of Axa?,How do premiums break down by lines of business in India?,1.1694275
what is the detailed income statement breakdown of Axa?,What is the share price of Qantas?,1.1568662
what is the detailed income statement breakdown of Axa?,How many passengers are carried in ?,1.3566917
what is the detailed income statement breakdown of Axa?,Which are the aircrafts manufactured by Boeing?,1.3908199
what is the detailed income statement breakdown of Axa?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0837817
what is the detailed income statement breakdown of Axa?,Which are the top airports?,1.358868
what is the detailed income statement breakdown of Axa?,How many fatal air accidents till date?,1.6215595
what is the detailed income statement breakdown of Axa?,What is the flow of air traffic in North America?,1.233182
what is the detailed income statement breakdown of Axa?,What is the fleet of Airbus?,1.2505025
what is the detailed income statement breakdown of Axa?,Airlines profitability Brazil?,2.7620075
what is the detailed income statement breakdown of Axa?,Mergers among airline companies?,2.1277564
what is the detailed income statement breakdown of Axa?,Which are the most profitable airports?,1.3442489
what is the detailed income statement breakdown of Axa?,What has the capacity movement of airline companies been over the years?,1.1501298
what is the detailed income statement breakdown of Axa?,Details of the Aban Abraham oil rig?,1.5576276
what is the detailed income statement breakdown of Axa?,How big is the airlines industry in China?,1.270394
what is the detailed income statement breakdown of Axa?,How much money did Lloyd's of London make last year?,1.2896361
what is the detailed income statement breakdown of Axa?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.1690156
what is the detailed income statement breakdown of Axa?,Which Lloyd's syndicates owns the maximum number of assets?,1.3453153
what is the detailed income statement breakdown of Axa?,List key performance indicators for AXA?,1.4231884
what is the detailed income statement breakdown of Axa?,What are the most prominent legal cases?,1.1999176
what is the detailed income statement breakdown of Axa?,How does oil industry perform in Brazil?,1.3211873
what is the detailed income statement breakdown of Axa?,What is the main driver of growth in automobile industry in Europe?,1.1196831
what is the detailed income statement breakdown of Axa?,Which country in Europe is going to grow the most in 2020?,1.1388434
what is the detailed income statement breakdown of Axa?,What are the biggest acquisitions in 2020?,1.2457829
what is the detailed income statement breakdown of Axa?,How impacted is the airline industry in 2020?,1.2353045
what is the detailed income statement breakdown of Axa?,What are the most prominent bankruptcies in 2020?,1.2209918
world premium penetration in 2020,how company compares to its peers?,1.6539644
world premium penetration in 2020,what is the detailed income statement breakdown of Axa?,1.5864531
world premium penetration in 2020,world premium penetration in 2020,0.0
world premium penetration in 2020,How does the forecasted insurance premium penetration in country trend compare to its peers?,1.025425
world premium penetration in 2020,what are the total losses for companies in country  non life market?,1.3386323
world premium penetration in 2020,Insurance premiums market in Country,1.6583683
world premium penetration in 2020,"How have the profit margins been for the airlines industry through the years, by regions?",1.3731477
world premium penetration in 2020,What is the complete profile of the top oil rigs?,1.4432304
world premium penetration in 2020,what is company general information?,1.5400622
world premium penetration in 2020,How is the airline industry performing globally?,1.5413609
world premium penetration in 2020,how does economic profit for in country compare to others?,1.4862555
world premium penetration in 2020,most profitable insurance company India,1.4417608
world premium penetration in 2020,Give me a detailed breakup of the income and expenses in South-East Asia,1.5178804
world premium penetration in 2020,Show me all the oil rigs in the world,1.4313223
world premium penetration in 2020,What were the premiums earned by the Indian insurance industry in 2020?,1.3400103
world premium penetration in 2020,How much have premiums grown as compared to claims for India?,1.4350612
world premium penetration in 2020,Which are the best performing insurance firms in India?,1.419625
world premium penetration in 2020,What is the ROE of the Indian market?,1.562444
world premium penetration in 2020,What profits were clocked by Cholamandalam in 2020?,1.4422439
world premium penetration in 2020,What is the premiums market share of the top 5 companies in India?,1.1811737
world premium penetration in 2020,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.3489922
world premium penetration in 2020,Which are the main distribution channels in India?,1.401888
world premium penetration in 2020,What are the risks in the motor insurance segment in India?,1.3064346
world premium penetration in 2020,What is the demand potential of India for insurance?,1.3471237
world premium penetration in 2020,How do premiums break down by lines of business in India?,1.4213331
world premium penetration in 2020,What is the share price of Qantas?,1.4447553
world premium penetration in 2020,How many passengers are carried in ?,1.6034479
world premium penetration in 2020,Which are the aircrafts manufactured by Boeing?,1.6091533
world premium penetration in 2020,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.193591
world premium penetration in 2020,Which are the top airports?,1.6131438
world premium penetration in 2020,How many fatal air accidents till date?,1.8240665
world premium penetration in 2020,What is the flow of air traffic in North America?,1.4605255
world premium penetration in 2020,What is the fleet of Airbus?,1.617412
world premium penetration in 2020,Airlines profitability Brazil?,2.7437787
world premium penetration in 2020,Mergers among airline companies?,2.1849842
world premium penetration in 2020,Which are the most profitable airports?,1.5724347
world premium penetration in 2020,What has the capacity movement of airline companies been over the years?,1.3901645
world premium penetration in 2020,Details of the Aban Abraham oil rig?,1.9248033
world premium penetration in 2020,How big is the airlines industry in China?,1.4805622
world premium penetration in 2020,How much money did Lloyd's of London make last year?,1.6906798
world premium penetration in 2020,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.5276895
world premium penetration in 2020,Which Lloyd's syndicates owns the maximum number of assets?,1.560746
world premium penetration in 2020,List key performance indicators for AXA?,1.7747297
world premium penetration in 2020,What are the most prominent legal cases?,1.5995467
world premium penetration in 2020,How does oil industry perform in Brazil?,1.5563644
world premium penetration in 2020,What is the main driver of growth in automobile industry in Europe?,1.3296402
world premium penetration in 2020,Which country in Europe is going to grow the most in 2020?,1.2882838
world premium penetration in 2020,What are the biggest acquisitions in 2020?,1.4626017
world premium penetration in 2020,How impacted is the airline industry in 2020?,1.4938005
world premium penetration in 2020,What are the most prominent bankruptcies in 2020?,1.5217372
How does the forecasted insurance premium penetration in country trend compare to its peers?,how company compares to its peers?,1.2016224
How does the forecasted insurance premium penetration in country trend compare to its peers?,what is the detailed income statement breakdown of Axa?,1.1551648
How does the forecasted insurance premium penetration in country trend compare to its peers?,world premium penetration in 2020,1.025425
How does the forecasted insurance premium penetration in country trend compare to its peers?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.0
How does the forecasted insurance premium penetration in country trend compare to its peers?,what are the total losses for companies in country  non life market?,0.9083892
How does the forecasted insurance premium penetration in country trend compare to its peers?,Insurance premiums market in Country,1.4021065
How does the forecasted insurance premium penetration in country trend compare to its peers?,"How have the profit margins been for the airlines industry through the years, by regions?",0.93997264
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the complete profile of the top oil rigs?,0.99735343
How does the forecasted insurance premium penetration in country trend compare to its peers?,what is company general information?,1.1532756
How does the forecasted insurance premium penetration in country trend compare to its peers?,How is the airline industry performing globally?,1.0675296
How does the forecasted insurance premium penetration in country trend compare to its peers?,how does economic profit for in country compare to others?,0.88468695
How does the forecasted insurance premium penetration in country trend compare to its peers?,most profitable insurance company India,1.2001832
How does the forecasted insurance premium penetration in country trend compare to its peers?,Give me a detailed breakup of the income and expenses in South-East Asia,1.1219915
How does the forecasted insurance premium penetration in country trend compare to its peers?,Show me all the oil rigs in the world,1.1332616
How does the forecasted insurance premium penetration in country trend compare to its peers?,What were the premiums earned by the Indian insurance industry in 2020?,0.8787757
How does the forecasted insurance premium penetration in country trend compare to its peers?,How much have premiums grown as compared to claims for India?,0.91716427
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the best performing insurance firms in India?,0.960392
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the ROE of the Indian market?,1.118593
How does the forecasted insurance premium penetration in country trend compare to its peers?,What profits were clocked by Cholamandalam in 2020?,1.098568
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the premiums market share of the top 5 companies in India?,0.7700091
How does the forecasted insurance premium penetration in country trend compare to its peers?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.8087562
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the main distribution channels in India?,1.0636971
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the risks in the motor insurance segment in India?,0.85025346
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the demand potential of India for insurance?,0.95000154
How does the forecasted insurance premium penetration in country trend compare to its peers?,How do premiums break down by lines of business in India?,0.90223145
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the share price of Qantas?,1.0736699
How does the forecasted insurance premium penetration in country trend compare to its peers?,How many passengers are carried in ?,1.1582133
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the aircrafts manufactured by Boeing?,1.2702036
How does the forecasted insurance premium penetration in country trend compare to its peers?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0333033
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the top airports?,1.2337682
How does the forecasted insurance premium penetration in country trend compare to its peers?,How many fatal air accidents till date?,1.4139831
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the flow of air traffic in North America?,1.0876089
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the fleet of Airbus?,1.1701341
How does the forecasted insurance premium penetration in country trend compare to its peers?,Airlines profitability Brazil?,2.5691254
How does the forecasted insurance premium penetration in country trend compare to its peers?,Mergers among airline companies?,1.978821
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the most profitable airports?,1.2040472
How does the forecasted insurance premium penetration in country trend compare to its peers?,What has the capacity movement of airline companies been over the years?,0.98423487
How does the forecasted insurance premium penetration in country trend compare to its peers?,Details of the Aban Abraham oil rig?,1.6306928
How does the forecasted insurance premium penetration in country trend compare to its peers?,How big is the airlines industry in China?,1.0014572
How does the forecasted insurance premium penetration in country trend compare to its peers?,How much money did Lloyd's of London make last year?,1.1564428
How does the forecasted insurance premium penetration in country trend compare to its peers?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.064606
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which Lloyd's syndicates owns the maximum number of assets?,1.2150522
How does the forecasted insurance premium penetration in country trend compare to its peers?,List key performance indicators for AXA?,1.4066937
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the most prominent legal cases?,1.2048984
How does the forecasted insurance premium penetration in country trend compare to its peers?,How does oil industry perform in Brazil?,1.0018753
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the main driver of growth in automobile industry in Europe?,0.9514511
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which country in Europe is going to grow the most in 2020?,0.8964325
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the biggest acquisitions in 2020?,1.0864413
How does the forecasted insurance premium penetration in country trend compare to its peers?,How impacted is the airline industry in 2020?,0.9781299
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the most prominent bankruptcies in 2020?,1.1265318
what are the total losses for companies in country  non life market?,how company compares to its peers?,1.2760417
what are the total losses for companies in country  non life market?,what is the detailed income statement breakdown of Axa?,1.0304785
what are the total losses for companies in country  non life market?,world premium penetration in 2020,1.3386323
what are the total losses for companies in country  non life market?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.9083892
what are the total losses for companies in country  non life market?,what are the total losses for companies in country  non life market?,0.0
what are the total losses for companies in country  non life market?,Insurance premiums market in Country,1.586394
what are the total losses for companies in country  non life market?,"How have the profit margins been for the airlines industry through the years, by regions?",0.736466
what are the total losses for companies in country  non life market?,What is the complete profile of the top oil rigs?,0.9117854
what are the total losses for companies in country  non life market?,what is company general information?,1.0164112
what are the total losses for companies in country  non life market?,How is the airline industry performing globally?,1.0443792
what are the total losses for companies in country  non life market?,how does economic profit for in country compare to others?,0.84920853
what are the total losses for companies in country  non life market?,most profitable insurance company India,1.2270544
what are the total losses for companies in country  non life market?,Give me a detailed breakup of the income and expenses in South-East Asia,0.9992446
what are the total losses for companies in country  non life market?,Show me all the oil rigs in the world,0.9295099
what are the total losses for companies in country  non life market?,What were the premiums earned by the Indian insurance industry in 2020?,0.80113983
what are the total losses for companies in country  non life market?,How much have premiums grown as compared to claims for India?,0.9743278
what are the total losses for companies in country  non life market?,Which are the best performing insurance firms in India?,0.8007056
what are the total losses for companies in country  non life market?,What is the ROE of the Indian market?,1.1127651
what are the total losses for companies in country  non life market?,What profits were clocked by Cholamandalam in 2020?,0.9417292
what are the total losses for companies in country  non life market?,What is the premiums market share of the top 5 companies in India?,0.7494415
what are the total losses for companies in country  non life market?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.86443144
what are the total losses for companies in country  non life market?,Which are the main distribution channels in India?,0.9402157
what are the total losses for companies in country  non life market?,What are the risks in the motor insurance segment in India?,0.75811446
what are the total losses for companies in country  non life market?,What is the demand potential of India for insurance?,0.88639766
what are the total losses for companies in country  non life market?,How do premiums break down by lines of business in India?,0.9226942
what are the total losses for companies in country  non life market?,What is the share price of Qantas?,1.0950679
what are the total losses for companies in country  non life market?,How many passengers are carried in ?,1.0267053
what are the total losses for companies in country  non life market?,Which are the aircrafts manufactured by Boeing?,1.0862255
what are the total losses for companies in country  non life market?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0287642
what are the total losses for companies in country  non life market?,Which are the top airports?,1.0691549
what are the total losses for companies in country  non life market?,How many fatal air accidents till date?,1.3716087
what are the total losses for companies in country  non life market?,What is the flow of air traffic in North America?,1.0321214
what are the total losses for companies in country  non life market?,What is the fleet of Airbus?,1.1403475
what are the total losses for companies in country  non life market?,Airlines profitability Brazil?,2.5977113
what are the total losses for companies in country  non life market?,Mergers among airline companies?,1.9108154
what are the total losses for companies in country  non life market?,Which are the most profitable airports?,1.0441594
what are the total losses for companies in country  non life market?,What has the capacity movement of airline companies been over the years?,0.79604286
what are the total losses for companies in country  non life market?,Details of the Aban Abraham oil rig?,1.5319422
what are the total losses for companies in country  non life market?,How big is the airlines industry in China?,0.9085409
what are the total losses for companies in country  non life market?,How much money did Lloyd's of London make last year?,1.0876801
what are the total losses for companies in country  non life market?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.96769476
what are the total losses for companies in country  non life market?,Which Lloyd's syndicates owns the maximum number of assets?,1.0744342
what are the total losses for companies in country  non life market?,List key performance indicators for AXA?,1.3281577
what are the total losses for companies in country  non life market?,What are the most prominent legal cases?,0.9743226
what are the total losses for companies in country  non life market?,How does oil industry perform in Brazil?,1.0867962
what are the total losses for companies in country  non life market?,What is the main driver of growth in automobile industry in Europe?,0.857034
what are the total losses for companies in country  non life market?,Which country in Europe is going to grow the most in 2020?,0.7845886
what are the total losses for companies in country  non life market?,What are the biggest acquisitions in 2020?,0.9047196
what are the total losses for companies in country  non life market?,How impacted is the airline industry in 2020?,0.9534705
what are the total losses for companies in country  non life market?,What are the most prominent bankruptcies in 2020?,0.9008717
Insurance premiums market in Country,how company compares to its peers?,1.9390664
Insurance premiums market in Country,what is the detailed income statement breakdown of Axa?,1.7505134
Insurance premiums market in Country,world premium penetration in 2020,1.6583683
Insurance premiums market in Country,How does the forecasted insurance premium penetration in country trend compare to its peers?,1.4021065
Insurance premiums market in Country,what are the total losses for companies in country  non life market?,1.586394
Insurance premiums market in Country,Insurance premiums market in Country,0.0
Insurance premiums market in Country,"How have the profit margins been for the airlines industry through the years, by regions?",1.5742927
Insurance premiums market in Country,What is the complete profile of the top oil rigs?,1.7899336
Insurance premiums market in Country,what is company general information?,1.7780793
Insurance premiums market in Country,How is the airline industry performing globally?,1.7391369
Insurance premiums market in Country,how does economic profit for in country compare to others?,1.6457654
Insurance premiums market in Country,most profitable insurance company India,1.4292374
Insurance premiums market in Country,Give me a detailed breakup of the income and expenses in South-East Asia,1.6675531
Insurance premiums market in Country,Show me all the oil rigs in the world,1.743672
Insurance premiums market in Country,What were the premiums earned by the Indian insurance industry in 2020?,1.20078
Insurance premiums market in Country,How much have premiums grown as compared to claims for India?,1.4557866
Insurance premiums market in Country,Which are the best performing insurance firms in India?,1.4848869
Insurance premiums market in Country,What is the ROE of the Indian market?,1.769708
Insurance premiums market in Country,What profits were clocked by Cholamandalam in 2020?,1.5847255
Insurance premiums market in Country,What is the premiums market share of the top 5 companies in India?,1.3084325
Insurance premiums market in Country,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.4492687
Insurance premiums market in Country,Which are the main distribution channels in India?,1.7963136
Insurance premiums market in Country,What are the risks in the motor insurance segment in India?,1.4071758
Insurance premiums market in Country,What is the demand potential of India for insurance?,1.7441362
Insurance premiums market in Country,How do premiums break down by lines of business in India?,1.4135588
Insurance premiums market in Country,What is the share price of Qantas?,1.7667245
Insurance premiums market in Country,How many passengers are carried in ?,1.8706951
Insurance premiums market in Country,Which are the aircrafts manufactured by Boeing?,1.9058324
Insurance premiums market in Country,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.2909327
Insurance premiums market in Country,Which are the top airports?,1.9437947
Insurance premiums market in Country,How many fatal air accidents till date?,1.945122
Insurance premiums market in Country,What is the flow of air traffic in North America?,1.8196168
Insurance premiums market in Country,What is the fleet of Airbus?,1.8831307
Insurance premiums market in Country,Airlines profitability Brazil?,2.6558616
Insurance premiums market in Country,Mergers among airline companies?,2.1762903
Insurance premiums market in Country,Which are the most profitable airports?,1.8524389
Insurance premiums market in Country,What has the capacity movement of airline companies been over the years?,1.6913793
Insurance premiums market in Country,Details of the Aban Abraham oil rig?,2.065848
Insurance premiums market in Country,How big is the airlines industry in China?,1.7025137
Insurance premiums market in Country,How much money did Lloyd's of London make last year?,1.8686748
Insurance premiums market in Country,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.6353956
Insurance premiums market in Country,Which Lloyd's syndicates owns the maximum number of assets?,1.8063791
Insurance premiums market in Country,List key performance indicators for AXA?,1.9498533
Insurance premiums market in Country,What are the most prominent legal cases?,1.8911653
Insurance premiums market in Country,How does oil industry perform in Brazil?,1.785396
Insurance premiums market in Country,What is the main driver of growth in automobile industry in Europe?,1.6114987
Insurance premiums market in Country,Which country in Europe is going to grow the most in 2020?,1.7210357
Insurance premiums market in Country,What are the biggest acquisitions in 2020?,1.7717404
Insurance premiums market in Country,How impacted is the airline industry in 2020?,1.6751322
Insurance premiums market in Country,What are the most prominent bankruptcies in 2020?,1.756821
"How have the profit margins been for the airlines industry through the years, by regions?",how company compares to its peers?,1.3005145
"How have the profit margins been for the airlines industry through the years, by regions?",what is the detailed income statement breakdown of Axa?,1.1353143
"How have the profit margins been for the airlines industry through the years, by regions?",world premium penetration in 2020,1.3731477
"How have the profit margins been for the airlines industry through the years, by regions?",How does the forecasted insurance premium penetration in country trend compare to its peers?,0.93997264
"How have the profit margins been for the airlines industry through the years, by regions?",what are the total losses for companies in country  non life market?,0.736466
"How have the profit margins been for the airlines industry through the years, by regions?",Insurance premiums market in Country,1.5742927
"How have the profit margins been for the airlines industry through the years, by regions?","How have the profit margins been for the airlines industry through the years, by regions?",0.0
"How have the profit margins been for the airlines industry through the years, by regions?",What is the complete profile of the top oil rigs?,0.937499
"How have the profit margins been for the airlines industry through the years, by regions?",what is company general information?,1.0981646
"How have the profit margins been for the airlines industry through the years, by regions?",How is the airline industry performing globally?,0.88317645
"How have the profit margins been for the airlines industry through the years, by regions?",how does economic profit for in country compare to others?,0.84917516
"How have the profit margins been for the airlines industry through the years, by regions?",most profitable insurance company India,1.2373002
"How have the profit margins been for the airlines industry through the years, by regions?",Give me a detailed breakup of the income and expenses in South-East Asia,1.0014747
"How have the profit margins been for the airlines industry through the years, by regions?",Show me all the oil rigs in the world,0.9746728
"How have the profit margins been for the airlines industry through the years, by regions?",What were the premiums earned by the Indian insurance industry in 2020?,0.7955971
"How have the profit margins been for the airlines industry through the years, by regions?",How much have premiums grown as compared to claims for India?,0.9522721
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the best performing insurance firms in India?,0.94266057
"How have the profit margins been for the airlines industry through the years, by regions?",What is the ROE of the Indian market?,1.097179
"How have the profit margins been for the airlines industry through the years, by regions?",What profits were clocked by Cholamandalam in 2020?,0.85987306
"How have the profit margins been for the airlines industry through the years, by regions?",What is the premiums market share of the top 5 companies in India?,0.76988775
"How have the profit margins been for the airlines industry through the years, by regions?",How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.84873515
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the main distribution channels in India?,1.0189439
"How have the profit margins been for the airlines industry through the years, by regions?",What are the risks in the motor insurance segment in India?,0.8541804
"How have the profit margins been for the airlines industry through the years, by regions?",What is the demand potential of India for insurance?,0.89535916
"How have the profit margins been for the airlines industry through the years, by regions?",How do premiums break down by lines of business in India?,0.8375428
"How have the profit margins been for the airlines industry through the years, by regions?",What is the share price of Qantas?,1.0686231
"How have the profit margins been for the airlines industry through the years, by regions?",How many passengers are carried in ?,1.029047
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the aircrafts manufactured by Boeing?,1.0927098
"How have the profit margins been for the airlines industry through the years, by regions?",Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.036297
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the top airports?,1.1758467
"How have the profit margins been for the airlines industry through the years, by regions?",How many fatal air accidents till date?,1.3554906
"How have the profit margins been for the airlines industry through the years, by regions?",What is the flow of air traffic in North America?,1.0376728
"How have the profit margins been for the airlines industry through the years, by regions?",What is the fleet of Airbus?,1.143384
"How have the profit margins been for the airlines industry through the years, by regions?",Airlines profitability Brazil?,2.362135
"How have the profit margins been for the airlines industry through the years, by regions?",Mergers among airline companies?,1.765262
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the most profitable airports?,1.0950494
"How have the profit margins been for the airlines industry through the years, by regions?",What has the capacity movement of airline companies been over the years?,0.6605535
"How have the profit margins been for the airlines industry through the years, by regions?",Details of the Aban Abraham oil rig?,1.5078514
"How have the profit margins been for the airlines industry through the years, by regions?",How big is the airlines industry in China?,0.72336364
"How have the profit margins been for the airlines industry through the years, by regions?",How much money did Lloyd's of London make last year?,1.0956725
"How have the profit margins been for the airlines industry through the years, by regions?",What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.0118167
"How have the profit margins been for the airlines industry through the years, by regions?",Which Lloyd's syndicates owns the maximum number of assets?,1.1878825
"How have the profit margins been for the airlines industry through the years, by regions?",List key performance indicators for AXA?,1.3884578
"How have the profit margins been for the airlines industry through the years, by regions?",What are the most prominent legal cases?,1.10157
"How have the profit margins been for the airlines industry through the years, by regions?",How does oil industry perform in Brazil?,1.0027779
"How have the profit margins been for the airlines industry through the years, by regions?",What is the main driver of growth in automobile industry in Europe?,0.88487494
"How have the profit margins been for the airlines industry through the years, by regions?",Which country in Europe is going to grow the most in 2020?,0.91488427
"How have the profit margins been for the airlines industry through the years, by regions?",What are the biggest acquisitions in 2020?,0.9938614
"How have the profit margins been for the airlines industry through the years, by regions?",How impacted is the airline industry in 2020?,0.766435
"How have the profit margins been for the airlines industry through the years, by regions?",What are the most prominent bankruptcies in 2020?,1.0104134
